455765,process,called now. I have missed the cheque like yio have asked for.,0
482244,process,a same page of payment options and it is not going through ok did your payment has,2
479320,process,what is the what is the problem? sir the final bill that they have the hospital has mailed us the final.,2
481813,process,OK so i didn't get any a S M S from your side OK it's ala it's about,0
483091,product,yes yeah so you wants to renew this policy right no i want further details on the intimate,2
469401,people,"You are guiding me, you are guiding me, you are not doing the work, you are guiding me. That girl also guided me. She guided me.",0
483101,product,ok nine five give me one minute your premium amount of the current year will be eleven thousand two hundred and,2
443588,process,Today only so that I didnot call up again because I am holding the call for last Ten Minutes So. Ok sir no.No issue I will just place a request,2
479969,system,I will disconnect call.Two Eight double zero .there is no response from I will disconnect.two eight double zero two eight,2
483872,product,last years quote was four one four five yesterday's quote was four four seven zero,2
456343,product,seven working days already over.But till now i could not get my money. Can you check the details actually i.,0
485271,product,because you are trying to renew this policy from website na yeah so the website will be,2
484715,product,ok can you help me with her age and the there is a initial hassel sandhya nair k k as in nair ke bad,2
483853,process,no problem i will call back yeah no sir you do not have to call back my team will call you sir,2
440393,process,To this mail id only sir. We can't able to do any thing sir.,2
485191,process,the same number you just call me yeah same number you can send yeah correct ok right now i am send it ok you can,2
472777,product,date means a month right. Is there is a mistake in that. So you can do one thing. You can cancel this,0
450461,process,Two Hours and I am trying you to call you guys Forty Five Minutes you dont reply then somebody comes,0
490873,people,"Arrey, I have written ever",0
485183,product,policy online sir you have to visit our nearest branch to renew the policy o so what is the renewal mean we can not renew haa,2
484154,product,in that case the benefit will be decided as per common law ok that how much benefit will be given to him,2
464520,process,"He not available something like that. They assured me within two hours they will call. Sorry, I am so sorry",0
482303,process,double three five six five double three five and who is this number yes to whom i need to call in this Bhar,2
480233,process,no no that is fine I am saying about if I don't have a cancel cheque can I use that attested.,2
483656,process,ess yeah last time i had told them that they should send it by courier service but they send it by,0
482182,process,it was weekenly involved in an accident and i want to know what are the authorised the workshops which i can take my car to,2
454743,process,I can give information what i can. i am not saying you are lying but  I am also saying.,2
472645,people,Registered Mobile. I sent the mail also. Still they have not done that one. I really don't under,0
480318,process,then I would re should be provide a cheque also scan copy of a cheque with policy holder name.,2
483645,product,but for the current year you will get fifteen lakh rupees covered for the owner driver so that's,2
465050,process,there is no response from your side. so I disconnect the call. There is no response from your side.,2
451785,process,received a message saying that there are documents which are pending to be uploaded for this particular claim when I spoke to the.,2
477545,process,Thirty Thousand. but actually not sending mail ah please. could you provide your mail I D?,0
483206,product,thirty one thousand and the premium will be near about eight thousand please visit the branch,2
490873,process,"Arrey, I have written ever",0
484893,process,will pay for it yeah like you don't have to worry about it no no no if there is any damage occured due to my neg,2
460343,process,sir i don't know why they have return like that i will get it revise and re-submit it to after after reimbursement you no problem man.,2
440399,process,Actually in the claim status only they didn't update any thing. They have mentioned they have rejected claim but I have sent the proof,2
484842,process,two six ten nine naa two six nine nine no no that the amount you paid naa two six,2
483844,process,postman detail just vishnu shankar communication details,2
483583,product,three lakhs seventy three thousand fifty four rupees ke liye jo premium aa raha hai eighteen thousand four hundred eighty eight rupee,2
485256,process,three thousand five hundred if they are providing you naa sir they will given you hidden discount that is,2
485410,process,less facility over there and you don't pay have to pay any charges for your claim if there is any damage,2
460985,process,yeah we have received a communication from this mail id also i m but in the subject line of your mail just,2
478928,process,sir every one is not that much. of that is very True but why why should they have a policy copy?,2
478508,process,OK yeah. I have send it on your mail id. yeah thank you. is there anything else.,2
